,N°,PROYECTO,VERSION,PROGRAMA,MANDANTE | UNIDAD TECNICA,CLASIFICACIÓN OGUC,CLASIFICACIÓN INE,CLASIFICACIÓN CPR,FONDOS MANDANTE,USUARIO,Num Región,UBICACION,Comuna,Dirección,AÑO INSCRIPCION,MES INSCRIPCION, SUPERFICIE,Unnamed: 17,ARQUITECTO,ASESOR,CONTACTO,ENTIDAD EVALUADORA,ESTADO ,PUNTAJE PRE CERTIFICACIÓN,AÑO PRECERTIFICACION,MES PRECERTIFICACION,PUNTAJE CERTIFICACIÓN,AÑO CERTIFICACION,MES CERTIFICACION,CATEGORÍA,Pre o Cert,año pre o cert,Pais,direccion,lat,lon
0,1,Escuela Manuel Anabalón Sáez ,Piloto,Educación,Corporación Municipal de Panguipulli,Equip. Educación,Servicios,Público,Corporación Municipal de Panguipulli,,13,Región de los Ríos,Panguipulli,Arturo Alessandri 147,2014,,"3.964,0",,Gubbins Arquitectos,Pablo Sills,pablo@osgreen.net,88 Limitada,Certificado,50,2015.0,,,2015.0,1.0,,2,2015,Chile,"Arturo Alessandri 147, Panguipulli, Región de los Ríos, Chile",-39.64451CESCES,-72.3391CESCES
2,3,Sede Osorno CChC,Piloto,Oficinas,Cámara Chilena de la Construcción A.G.,Equip. Servicios,Servicios,Público,Cámara Chilena de la Construcción A.G.,,14,Región de los Lagos,Osorno,Francisco Bilbao 1640,2014,,350,,Scheel Arquitectos,,,EFIZITY,Certificado,,,,,2014.0,12.0,,1,2014,Chile,"Francisco Bilbao 1640, Osorno, Región de los Lagos, Chile",-40.576299CESCES,-73.1221408CESCES
3,4,Liceo Experimental Artístico,Piloto,Educación,Ministerio de Educación,Equip. Educación,Servicios,Público,0,,7,Región Metropolitana,Quinta Normal,Mapocho 3885,2014,,5.169,,Martín Hurtado,,,DECON UC,Certificado,"30,7",2015.0,,"31,7",2018.0,5.0,Certificado,2,2018,Chile,"Mapocho 3885, Quinta Normal, Región Metropolitana, Chile",-33.4323CESCES,-70.6877CESCES
5,6,Edificio PDI Puerto Montt,Piloto,Seguridad,DA MOP Regíon de los Lagos,Equip. Seguridad,Servicios,Público,Policía de Investigaciones de Chile,,14,Región de los Lagos,Puerto Montt,Monseñor Ramón Munita 536,2014,,"4.182,0",,PLAN Arquitectos Ltda.,,,IDIEM,Certificado,,,,,2015.0,12.0,Certificado,1,2015,Chile,"Monseñor Ramón Munita 536, Puerto Montt, Región de los Lagos, Chile",-41.4571919CESCES,-72.928257CESCES
6,7,Corporativo Transoceánica,Piloto,Oficinas,Inmobiliaria Business Park S.A.,Equip. Servicios,Servicios,Público,Inmobiliaria Business Park S.A.,,7,Región Metropolitana,Vitacura,Santa María 5888,2015,,"13.256,0",,+ arquitectos,,,CIAES UCN,Certificado,,,,,2015.0,10.0,Sobresaliente,1,2015,Chile,"Santa María 5888, Vitacura, Región Metropolitana, Chile",-33.37944CESCES,-70.58171CESCES
12,13,Cuartel Bomberos Cunco,,Seguridad,DA MOP Regíon de la Araucanía,Equip. Seguridad,Servicios,Público,GORE Araucanía,,12,Región de la Araucanía,Cunco,José Manuel Balmaceda 369,2016,1.0,832,,Arquiferreira,Rodrigo Escobar,rodrigo.escobar@serrago.cl,88 Limitada,Certificado,"56,5",2016.0,10.0,"60,5",2018.0,8.0,Destacado,2,2018,Chile,"José Manuel Balmaceda 369, Cunco, Región de la Araucanía, Chile",-39.2779106654CESCES,-72.2301070218CESCES
20,21,Edificio Adm. Central Angostura ,,Oficinas,Colbún S.A.,Equip. Servicios,Servicios,Público,Colbún S.A.,Colbún S.A.,11,Región del Biobío,Quilaco,"Ruta Q-61-R, km.55, lote 1D",2016,7.0,4241,,Prado Arquitectos,Mario Coronado,mariocoronadoc@gmail.com,CITEC UBB,Certificado,"33,5",2018.0,6.0,33,2018.0,12.0,Certificado,2,2018,Chile,"Ruta Q-61-R, km.55, lote 1D, Quilaco, Región del Biobío, Chile",-37.73154CESCES,-71.81096CESCES
21,22,Biblioteca Regional La Serena,,Cultura,DA MOP Región de Coquimbo,Equip. Culto y Cultura,Servicios,Público,MINEDUC,Direccion de Bibliotecas Archivos y Museos,5,Región de Coquimbo,La Serena,Juan José Latorre 782,2016,7.0,5541,,Valle y Cornejo Arquitectos Ltda.,Maria Luisa Del Campo,mdelcampo@kipus.cl,IDIEM,Certificado,45,2016.0,10.0,46,2017.0,11.0,Certificado,2,2017,Chile,"Juan José Latorre 782, La Serena, Región de Coquimbo, Chile",-29.88033CESCES,-71.25291CESCES
23,24,Colegio Bernardo O'Higgins ,,Educación,DA MOP Regíon de Antofagasta,Equip. Educación,Servicios,Público,Ministerio de Educación,,3,Región de Antofagasta,Tocopilla,Av. 18 de Septiembre 2732,2016,7.0,3865,,Valle y Cornejo Arquitectos Ltda.,Maria Luisa Del Campo,mdelcampo@kipus.cl,CIAES UCN,Certificado,48,2016.0,10.0,48,2017.0,9.0,Certificado,2,2017,Chile,"Av. 18 de Septiembre 2732, Tocopilla, Región de Antofagasta, Chile",-22.0861871CESCES,-70.1906939CESCES
24,25,Oficinas Caja Los Andes Providencia,,Oficinas,Caja de Compensación Los Andes,Equip. Servicios,Servicios,Público,Caja de Compensación Los Andes,,7,Región Metropolitana,Providencia,General Calderón 121,2016,7.0,12043,,Mas Fernandez Arq. - Lira Arq.,Efizity - Tamara Quiroz,tquiroz@efizity.com,DECON UC,Certificado,,,,56,2017.0,1.0,Destacado,1,2017,Chile,"General Calderón 121, Providencia, Región Metropolitana, Chile",-33.42517CESCES,-70.621CESCES
25,26,Centro Deportivo Integral Caldera,,Deporte,Instituto Nacional de Deportes,Equip. Deporte,Servicios,Público,Instituto Nacional de Deportes,,4,Región de Atacama,Caldera,Carvallo 946,2016,11.0,3410,,PHH Arquitectos,Daniela Olmos,urbexergia@gmail.com,88 Limitada,Certificado,56,2017.0,10.0,56,2018.0,5.0,Destacado,2,2018,Chile,"Carvallo 946, Caldera, Región de Atacama, Chile",-27.0704431CESCES,-70.8266822CESCES
29,30,Centro Deportivo Integral San Ramon,,Deporte,Instituto Nacional de Deportes,Equip. Deporte,Servicios,Público,Instituto Nacional de Deportes,,7,Región Metropolitana,San Ramón,Av. Américo Vespucio 1315,2016,11.0,3172,,Massmann Arquitectos ,Rodrigo Escobar,rodrigo.escobar@serrago.cl,88 Limitada,Certificado,,,,"43,5",2017.0,12.0,Certificado,1,2017,Chile,"Av. Américo Vespucio 1315, San Ramón, Región Metropolitana, Chile",-33.5403972351CESCES,-70.6505021628CESCES
43,44,Comisaría Lautaro,,Seguridad,DA MOP Regíon de la Araucanía,Equip. Seguridad,Servicios,Público,Carabineros de Chile,Carabineros de Chile,12,Región de la Araucanía,Lautaro,José Manuel Balmaceda 1094,2017,1.0,1328,,Marcelo Carrasco,Rodrigo Vargas,rodrigovargastraub@gmail.com,88 Limitada,Certificado,"48,5",2017.0,6.0,"48,5",2018.0,11.0,Certificado,2,2018,Chile,"José Manuel Balmaceda 1094, Lautaro, Región de la Araucanía, Chile",-38.5334578491CESCES,-72.4397207302CESCES
46,47,Reposición Teatro Andrés Pérez,,Cultura,DA MOP Región de Antofagasfa,Equip. Culto y Cultura,Servicios,Público,,,3,Región de Antofagasta,Tocopilla,Freire 1249,2017,2.0,931,,Valle y Cornejo Arquitectos Ltda.,Maria Luisa Del Campo,mdelcampo@kipus.cl,CIAES UCN,Certificado,"48,5",2017.0,5.0,58,2017.0,12.0,Destacado,2,2017,Chile,"Freire 1249, Tocopilla, Región de Antofagasta, Chile",-22.09246CESCES,-70.19743CESCES
50,51,6° Comisaría Chillán Viejo,,Seguridad,DA MOP Regíon del Biobío,Equip. Seguridad,Servicios,Público,Carabineros de Chile,Carabineros de Chile,10,Región del Ñuble,Chillán Viejo,Av. O'Higgins 2804,2017,3.0,1116,,BGL Arquitectos Asociados Ltda.,Francisco Pizarro,fp.energy1@gmail.com,CITEC UBB,Precertificado,45,2017.0,9.0,,,,,0,2017,Chile,"Av. O'Higgins 2804, Chillán Viejo, Región del Ñuble, Chile",-36.6218568CESCES,-72.1340335CESCES
52,53,22° Comisaría Quinta Normal,,Seguridad,DA MOP Regíon Metropolitana,Equip. Seguridad,Servicios,Público,Carabineros de Chile,Carabineros de Chile,7,Región Metropolitana,Quinta Normal,Santo Domingo 4390,2017,3.0,1702,,Dino Gervasoni,John Fookes,jfookes@ecobuilding.cl,EFIZITY,Certificado,48,2017.0,8.0,,2018.0,10.0,Destacado,2,2018,Chile,"Santo Domingo 4390, Quinta Normal, Región Metropolitana, Chile",-33.43997CESCES,-70.69422CESCES
59,60,Centro Deportivo Integral Lo Espejo,,Deporte,Instituto Nacional de Deportes,Equip. Deporte,Servicios,Público,Instituto Nacional de Deportes,,7,Región Metropolitana,Lo Espejo,Guanajuato 7915,2017,3.0,2846,,Iglesis Arquitectos,Pablo Canales,pablo@latitud.cl,EFIZITY,Certificado,41,2017.0,7.0,40,2018.0,6.0,Certificado,2,2018,Chile,"Guanajuato 7915, Lo Espejo, Región Metropolitana, Chile",-33.5235103CESCES,-70.6836398CESCES
61,62,Subcomisaría La Portada,,Seguridad,DA MOP Regíon de Antofagasta,Equip. Seguridad,Servicios,Público,Carabineros de Chile,Carabineros de Chile,3,Región de Antofagasta,Antofagasta,Av. Rica Ventura 11955,2017,4.0,889,,MAO Arquitectos Ltda.,Maria Luisa Del Campo,mdelcampo@kipus.cl,CIAES UCN,Certificado,"48,5",2017.0,6.0,"48,5",2018.0,3.0,Certificado,2,2018,Chile,"Av. Rica Ventura 11955, Antofagasta, Región de Antofagasta, Chile",-23.6394500732CESCES,-70.3959732056CESCES
63,64,Centro de Día del Adulto Mayor Punta Arenas,,Servicios,DA MOP Region de Magallanes,Equip. Social,Servicios,Público,SENAMA - MDS ,,16,Región de Magallanes,Punta Arenas,Av. Pdte. Eduardo Frei Montalva 862,2017,5.0,843,,Néstor Vásquez,Pasiva - Gonzalo Mut,gmut@pasiva.cl,IDIEM,Certificado,71,2017.0,9.0,69,2018.0,2.0,Destacado,2,2018,Chile,"Av. Pdte. Eduardo Frei Montalva 862, Punta Arenas, Región de Magallanes, Chile",-53.1536494CESCES,-70.9294517CESCES
64,65,Campamento Vialidad N°1 Paso Pehuenche,,Servicios,DA MOP Región del Maule,Equip. Servicios,Servicios,Público,FNDR - GORE,,9,Región del Maule,San Clemente,Ruta CH-115 Km 120.5,2017,5.0,630,,Juan Claudio López Rübke,Francisco Pizarro,fp.energy1@gmail.com,88 Limitada,Precertificado,"39,5",2018.0,1.0,,,,,0,2018,Chile,"Ruta CH-115 Km 120.5, San Clemente, Región del Maule, Chile",-35.45116CESCES,-71.69359CESCES
69,70,8° Comisaría de Colina,,Seguridad,DA MOP Regíon Metropolitana,Equip. Seguridad,Servicios,Público,Carabineros de Chile,Carabineros de Chile,7,Región Metropolitana,Colina,La Inmaculada Concepción 575,2017,6.0,1830,,Castelblanco Arquitectos Asoc.,Matías Yachan,Matias.yachan@e3ingenieria.cl,EFIZITY,Certificado,"40,7",2018.0,3.0,"40,7",2018.0,6.0,Certificado,2,2018,Chile,"La Inmaculada Concepción 575, Colina, Región Metropolitana, Chile",-33.2037765703CESCES,-70.680408691CESCES
75,77,Sala Cuna Funcionarios UACh,,Educación,Universidad Austral de Chile,Equip. Educación,Servicios,Público,Universidad Austral de Chile,Universidad Austral de Chile,13,Región de los Ríos,Valdivia,Las Encinas 220,2017,8.0,531,,Universidad Austral de Chile,Mauricio Ramírez,mauricio@88limitada.cl,EFIZITY,Certificado,"52,5",2018.0,2.0,"55,5",2018.0,4.0,Destacado,2,2018,Chile,"Las Encinas 220, Valdivia, Región de los Ríos, Chile",-39.81032CESCES,-73.25213CESCES
76,78,Clínica Psicológica UACh,,Educación,Universidad Austral de Chile,Equip. Educación,Servicios,Público,Universidad Austral de Chile,Universidad Austral de Chile,13,Región de los Ríos,Valdivia,Prolongación Calle Rudloff S/N,2017,8.0,180,,Universidad Austral de Chile,Mauricio Ramírez,mauricio@88limitada.cl,EFIZITY,Certificado,"44,5",2018.0,1.0,"44,5",2018.0,3.0,Certificado,2,2018,Chile,"Prolongación Calle Rudloff S/N, Valdivia, Región de los Ríos, Chile",-39.83293CESCES,-73.24548CESCES
82,84,Centro Asistencial Docente e Investigación Universidad de Magallanes,,Educación,DA MOP Región de Magallanes,Equip. Educación,Servicios,Público,GORE,Universidad de Magallanes,16,Región de Magallanes,Punta Arenas,Av. los Flamencos 1364,2017,10.0,7068,,Brito Navarro Arquitectos,Efizity - Tamara Quiroz,tquiroz@efizity.com,DECON UC,Certificado,39,2017.0,12.0,39,2018.0,10.0,Certificado,2,2018,Chile,"Av. los Flamencos 1364, Punta Arenas, Región de Magallanes, Chile",-53.1227153CESCES,-70.8978964CESCES
99,101,CECREA Valdivia,,Cultura,DA MOP Región de los Ríos,Equip. Culto y Cultura,Servicios,Público,CNCA,,13,Región de los Ríos,Valdivia,Av. Ecuador 2000,2018,2.0,1512,,Ronald Scheel,Ronald Scheel,rscheel@scheelarquitectos.com,EFIZITY,Precertificado,"30,5",2018.0,4.0,,,,,0,2018,Chile,"Av. Ecuador 2000, Valdivia, Región de los Ríos, Chile",-39.8245915CESCES,-73.2236423CESCES
117,119,CECREA Castro,,Cultura,Ilustre Municipalidad de Castro,Equip. Culto y Cultura,Servicios,Público,,,14,Región de los Lagos,Castro,Eusebio Lillo 160,2018,8.0,1392,,Empresas LN,Tamara Catalán,tam.catalan@gmail.com,Ecosustenta,En desarrollo,,,,,,,,ninguna,ninguna,Chile,"Eusebio Lillo 160, Castro, Región de los Lagos, Chile",-42.4834518CESCES,-73.7597453CESCES
